policy_name,request_id,time,function_name,cache_hit,latency,cold_start_penalty,cache_used_before,cache_used_after,cache_keys_after
lru,11,2.8,json-parse,False,0.38999999999999996,0.35,3,4,img-resize;json-parse;ml-infer
lru,12,3.1,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
lru,13,3.3,fft,False,1.5799999999999998,1.4,4,4,fft;img-resize;json-parse
lru,14,3.7,video-transcode,False,2.6500000000000004,2.2,4,3,video-transcode
lru,15,4.0,img-resize,False,0.88,0.8,3,4,img-resize;video-transcode
lru,16,4.2,json-parse,False,0.38999999999999996,0.35,4,2,img-resize;json-parse
lru,17,4.5,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
lru,18,4.8,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
lru,19,5.1,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
lru,20,5.4,video-transcode,False,2.6500000000000004,2.2,3,3,video-transcode
lru,21,5.8,json-parse,False,0.38999999999999996,0.35,3,4,json-parse;video-transcode
lru,22,6.0,img-resize,False,0.88,0.8,4,2,img-resize;json-parse
lru,23,6.3,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
lru,24,6.6,fft,False,1.5799999999999998,1.4,4,4,fft;ml-infer
lru,25,7.0,img-resize,False,0.88,0.8,4,3,fft;img-resize
lru,26,7.3,json-parse,False,0.38999999999999996,0.35,3,4,fft;img-resize;json-parse
lru,27,7.6,video-transcode,False,2.6500000000000004,2.2,4,4,json-parse;video-transcode
lru,28,8.0,img-resize,False,0.88,0.8,4,4,img-resize;video-transcode
lru,29,8.4,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
lru,30,8.8,ml-infer,False,2.1999999999999997,1.9,3,4,fft;ml-infer
lru,31,9.2,json-parse,False,0.38999999999999996,0.35,4,3,json-parse;ml-infer
lru,32,9.5,img-resize,False,0.88,0.8,3,4,img-resize;json-parse;ml-infer
utility_aware,1,0.0,img-resize,False,0.88,0.8,0,1,img-resize
utility_aware,2,0.2,img-resize,True,0.08,0.0,1,1,img-resize
utility_aware,3,0.5,json-parse,False,0.38999999999999996,0.35,1,2,img-resize;json-parse
utility_aware,4,0.9,fft,False,1.5799999999999998,1.4,2,4,fft;img-resize;json-parse
utility_aware,5,1.1,img-resize,True,0.08,0.0,4,4,fft;img-resize;json-parse
utility_aware,6,1.4,video-transcode,False,2.6500000000000004,2.2,4,4,img-resize;video-transcode
utility_aware,7,1.7,json-parse,False,0.38999999999999996,0.35,4,2,img-resize;json-parse
utility_aware,8,2.0,fft,False,1.5799999999999998,1.4,2,4,fft;img-resize;json-parse
utility_aware,9,2.2,img-resize,True,0.08,0.0,4,4,fft;img-resize;json-parse
utility_aware,10,2.5,ml-infer,False,2.1999999999999997,1.9,4,3,img-resize;ml-infer
utility_aware,11,2.8,json-parse,False,0.38999999999999996,0.35,3,4,img-resize;json-parse;ml-infer
utility_aware,12,3.1,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
utility_aware,13,3.3,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
utility_aware,14,3.7,video-transcode,False,2.6500000000000004,2.2,3,4,img-resize;video-transcode
utility_aware,15,4.0,img-resize,True,0.08,0.0,4,4,img-resize;video-transcode
utility_aware,16,4.2,json-parse,False,0.38999999999999996,0.35,4,2,img-resize;json-parse
utility_aware,17,4.5,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
utility_aware,18,4.8,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
utility_aware,19,5.1,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
utility_aware,20,5.4,video-transcode,False,2.6500000000000004,2.2,3,4,img-resize;video-transcode
utility_aware,21,5.8,json-parse,False,0.38999999999999996,0.35,4,2,img-resize;json-parse
utility_aware,22,6.0,img-resize,True,0.08,0.0,2,2,img-resize;json-parse
utility_aware,23,6.3,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
utility_aware,24,6.6,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
utility_aware,25,7.0,img-resize,True,0.08,0.0,3,3,fft;img-resize
utility_aware,26,7.3,json-parse,False,0.38999999999999996,0.35,3,4,fft;img-resize;json-parse
utility_aware,27,7.6,video-transcode,False,2.6500000000000004,2.2,4,4,img-resize;video-transcode
utility_aware,28,8.0,img-resize,True,0.08,0.0,4,4,img-resize;video-transcode
utility_aware,29,8.4,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
utility_aware,30,8.8,ml-infer,False,2.1999999999999997,1.9,3,3,img-resize;ml-infer
utility_aware,31,9.2,json-parse,False,0.38999999999999996,0.35,3,4,img-resize;json-parse;ml-infer
utility_aware,32,9.5,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
