function_name,request_id,node_name,replica_id,active_requests_before,degradation_factor,probe_final_duration,dispatch_simtime,dispatch_final_duration,inv_t_start,inv_t_exec,inv_t_wait,simtime_match,node_match,duration_match
degradation-python-pi,21,server_0,1429163184912,16,6.6,2.64,1.6666666666666672,2.64,1.6666666666666672,2.6400000000000006,0.0,True,True,True
degradation-python-pi,22,server_0,1429163188752,17,6.949999999999999,2.78,1.7222222222222228,2.78,1.7222222222222228,2.78,0.0,True,True,True
degradation-python-pi,23,server_0,1429163184912,17,6.949999999999999,2.78,1.7777777777777783,2.78,1.7777777777777783,2.7799999999999994,0.0,True,True,True
degradation-python-pi,24,server_0,1429163188752,18,7.3,2.92,1.833333333333334,2.92,1.833333333333334,2.92,0.0,True,True,True
degradation-python-pi,25,server_0,1429163184912,19,7.6499999999999995,3.06,1.8888888888888895,3.06,1.8888888888888895,3.0600000000000005,0.0,True,True,True
degradation-python-pi,26,server_0,1429163188752,19,7.6499999999999995,3.06,1.944444444444445,3.06,1.944444444444445,3.06,0.0,True,True,True
degradation-python-pi,27,server_0,1429163184912,20,8.0,3.2,2.0000000000000004,3.2,2.0000000000000004,3.2000000000000006,0.0,True,True,True
degradation-python-pi,28,server_0,1429163188752,21,8.35,3.34,2.055555555555556,3.34,2.055555555555556,3.3399999999999994,0.0,True,True,True
degradation-python-pi,29,server_0,1429163184912,22,8.7,3.48,2.111111111111111,3.48,2.111111111111111,3.48,0.0,True,True,True
degradation-python-pi,30,server_0,1429163188752,22,8.7,3.48,2.1666666666666665,3.48,2.1666666666666665,3.48,0.0,True,True,True
degradation-python-pi,31,server_0,1429163184912,23,9.049999999999999,3.6199999999999997,2.222222222222222,3.6199999999999997,2.222222222222222,3.6199999999999997,0.0,True,True,True
degradation-python-pi,32,server_0,1429163188752,24,9.399999999999999,3.76,2.2777777777777772,3.76,2.2777777777777772,3.7599999999999993,0.0,True,True,True
degradation-python-pi,33,server_0,1429163184912,24,9.399999999999999,3.76,2.3333333333333326,3.76,2.3333333333333326,3.7599999999999993,0.0,True,True,True
degradation-python-pi,34,server_0,1429163188752,24,9.399999999999999,3.76,2.388888888888888,3.76,2.388888888888888,3.7599999999999993,0.0,True,True,True
degradation-python-pi,35,server_0,1429163184912,25,9.75,3.9000000000000004,2.4444444444444433,3.9000000000000004,2.4444444444444433,3.9,0.0,True,True,True
degradation-python-pi,36,server_0,1429163188752,26,10.1,4.04,2.4999999999999987,4.04,2.4999999999999987,4.040000000000001,0.0,True,True,True
degradation-python-pi,37,server_0,1429163184912,27,10.45,4.18,2.555555555555554,4.18,2.555555555555554,4.18,0.0,True,True,True
degradation-python-pi,38,server_0,1429163188752,27,10.45,4.18,2.6111111111111094,4.18,2.6111111111111094,4.18,0.0,True,True,True
degradation-python-pi,39,server_0,1429163184912,28,10.799999999999999,4.319999999999999,2.6666666666666647,4.319999999999999,2.6666666666666647,4.32,0.0,True,True,True
degradation-python-pi,40,server_0,1429163188752,29,11.149999999999999,4.46,2.72222222222222,4.46,2.72222222222222,4.460000000000001,0.0,True,True,True
