topology,name,object_type,arch,bandwidth,tags
urban_sensing,server_3,node,x86,,
urban_sensing,link_server_3,link,,1000.0,"{'name': 'link_server_3', 'type': 'node'}"
urban_sensing,server_4,node,x86,,
urban_sensing,link_server_4,link,,1000.0,"{'name': 'link_server_4', 'type': 'node'}"
urban_sensing,switch_cloudlet_0,switch,,,
urban_sensing,server_5,node,x86,,
urban_sensing,link_server_5,link,,1000.0,"{'name': 'link_server_5', 'type': 'node'}"
urban_sensing,switch_lan_12,switch,,,
urban_sensing,server_6,node,x86,,
urban_sensing,link_server_6,link,,1000.0,"{'name': 'link_server_6', 'type': 'node'}"
urban_sensing,server_7,node,x86,,
urban_sensing,link_server_7,link,,1000.0,"{'name': 'link_server_7', 'type': 'node'}"
urban_sensing,server_8,node,x86,,
urban_sensing,link_server_8,link,,1000.0,"{'name': 'link_server_8', 'type': 'node'}"
urban_sensing,server_9,node,x86,,
urban_sensing,link_server_9,link,,1000.0,"{'name': 'link_server_9', 'type': 'node'}"
urban_sensing,up_cloudlet_0,link,,1000.0,"{'type': 'uplink', 'name': 'up_cloudlet_0'}"
urban_sensing,down_cloudlet_0,link,,1000.0,"{'type': 'downlink', 'name': 'down_cloudlet_0'}"
urban_sensing,registry,node,x86,,
