case_id,policy_name,time,function_name,evicted_function,evicted_node,reason,utility,cache_used_after
faascache,FaasCache,2.1,fft,json-parse,edge-a-1,cache_capacity_pressure,1.1666666666666667,5
faascache,FaasCache,2.8,video-analytics,video-analytics,edge-b-1,cache_capacity_pressure,1.3333333333333335,5
faascache,FaasCache,3.5,json-parse,json-parse,edge-b-2,cache_capacity_pressure,1.7499999999999998,5
faascache,FaasCache,3.8,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,2.666666666666667,5
faascache,FaasCache,4.1,json-parse,json-parse,edge-b-1,cache_capacity_pressure,2.3333333333333335,5
faascache,FaasCache,5.2,video-analytics,video-analytics,edge-a-1,cache_capacity_pressure,4.0,5
faascache,FaasCache,6.0,json-parse,json-parse,edge-a-2,cache_capacity_pressure,2.3333333333333335,5
faascache,FaasCache,8.2,json-parse,json-parse,cloud-1,cache_capacity_pressure,2.3333333333333335,5
faascache,FaasCache,9.8,video-analytics,video-analytics,cloud-1,cache_capacity_pressure,2.666666666666667,5
faascache,FaasCache,12.0,json-parse,json-parse,edge-b-2,cache_capacity_pressure,1.1666666666666667,5
faascache,FaasCache,13.2,ml-infer,ml-infer,edge-a-1,keep_alive_expired,6.333333333333333,3
cache_aware_joint,CacheAwareJoint,1.4,ml-infer,json-parse,edge-a-1,cache_capacity_pressure,0.5833333333333334,5
cache_aware_joint,CacheAwareJoint,1.8,json-parse,fft,edge-b-1,cache_capacity_pressure,1.1666666666666667,4
cache_aware_joint,CacheAwareJoint,2.1,fft,json-parse,edge-a-1,cache_capacity_pressure,1.1666666666666667,5
cache_aware_joint,CacheAwareJoint,2.8,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,1.3333333333333335,5
cache_aware_joint,CacheAwareJoint,3.5,json-parse,json-parse,edge-a-1,cache_capacity_pressure,1.7499999999999998,5
cache_aware_joint,CacheAwareJoint,3.8,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,2.666666666666667,5
cache_aware_joint,CacheAwareJoint,4.1,json-parse,json-parse,edge-a-1,cache_capacity_pressure,2.3333333333333335,5
cache_aware_joint,CacheAwareJoint,5.2,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,4.0,5
cache_aware_joint,CacheAwareJoint,6.0,json-parse,json-parse,edge-a-1,cache_capacity_pressure,2.3333333333333335,5
cache_aware_joint,CacheAwareJoint,8.2,json-parse,json-parse,edge-a-1,cache_capacity_pressure,2.3333333333333335,5
cache_aware_joint,CacheAwareJoint,9.8,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,2.666666666666667,5
cache_aware_joint,CacheAwareJoint,12.0,json-parse,json-parse,edge-a-1,cache_capacity_pressure,1.1666666666666667,5
