case_id,policy_name,request_id,result_r_desired,decision_r_desired,result_r_cache,decision_r_cache,result_r_load,decision_r_load,match,detail
cache_aware_joint,CacheAwareJoint,2,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,3,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,4,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,5,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,6,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,7,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,8,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,9,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,10,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,11,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,12,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,13,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,14,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,15,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,16,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,17,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,18,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,19,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,20,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,21,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,22,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,23,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,24,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,25,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,26,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,27,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,28,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,29,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,30,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,31,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,32,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,33,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,34,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
cache_aware_joint,CacheAwareJoint,35,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
